Rank,Country,January,February,March,April,May,June,July,August,September,October,Jan-Oct Total,% Share,RankingType
19,UNITED ARAB EMIRATES,1102,2437,3748,3116,2304,2859,3053,2708,2867,3056,27250,0.61,Ranking by Country of Residence
20,SPAIN,2969,2634,3034,2691,1648,1729,3450,4132,2159,2511,26957,0.61,Ranking by Country of Residence
21,NETHERLANDS,3061,2814,3054,3237,2166,1519,3394,1900,1740,2291,25176,0.57,Ranking by Country of Residence
22,NEW ZEALAND,2338,2028,2276,2714,2152,2430,2177,1688,1953,2105,21861,0.49,Ranking by Country of Residence
23,SWITZERLAND,2201,2475,2660,2918,1291,922,2084,885,1165,1670,18271,0.41,Ranking by Country of Residence
24,RUSSIA,3153,3752,2735,2030,1122,863,958,967,947,1595,18122,0.41,Ranking by Country of Residence
25,ITALY,2274,2200,2059,1609,954,1251,1729,2287,1002,1311,16676,0.38,Ranking by Country of Residence
26,SAUDI ARABIA,1365,1968,1727,1819,1912,1784,1721,1375,1468,1441,16580,0.37,Ranking by Country of Residence
27,NORWAY,1567,1716,1529,1209,773,3235,3508,843,843,1035,16258,0.37,Ranking by Country of Residence
28,IRELAND,1317,1056,1325,1230,1087,2475,1896,1056,850,1052,13344,0.30,Ranking by Country of Residence
29,SWEDEN,1887,1816,1753,1252,826,1617,1254,662,672,920,12659,0.28,Ranking by Country of Residence
30,ISRAEL,1888,1637,1955,1355,836,697,1051,893,1325,635,12272,0.28,Ranking by Country of Residence
31,BELGIUM,1221,1291,1353,1184,890,991,2273,827,778,1072,11880,0.27,Ranking by Country of Residence
32,NORTH KOREA,1440,1439,1341,1134,1205,1325,1638,1605,292,46,11465,0.26,Ranking by Country of Residence
33,AUSTRIA,1716,1462,1197,1071,735,738,1410,805,520,865,10519,0.24,Ranking by Country of Residence
34,DENMARK,1450,1318,1307,1084,740,784,1056,462,661,940,9802,0.22,Ranking by Country of Residence
35,QATAR,393,816,990,1220,716,916,841,754,895,1031,8572,0.19,Ranking by Country of Residence
36,TURKEY,824,1014,1103,832,617,758,629,643,687,765,7872,0.18,Ranking by Country of Residence
37,POLAND,875,1263,1089,934,443,325,312,288,371,749,6649,0.15,Ranking by Country of Residence
38,KUWAIT,413,715,613,704,608,776,565,618,426,451,5889,0.13,Ranking by Country of Residence
39,BRUNEI,416,545,578,779,431,504,507,470,454,530,5214,0.12,Ranking by Country of Residence
40,MYANMAR,358,309,355,441,585,526,608,542,677,656,5057,0.11,Ranking by Country of Residence
41,PAPUA NEW GUINEA,381,400,410,465,443,619,536,448,733,573,5008,0.11,Ranking by Country of Residence
42,BAHRAIN,231,453,427,416,416,489,547,523,605,633,4740,0.11,Ranking by Country of Residence
43,CZECH REPUBLIC,629,885,818,482,226,174,278,214,257,491,4454,0.10,Ranking by Country of Residence
44,MONGOLIA,972,765,493,260,228,465,315,207,206,185,4096,0.09,Ranking by Country of Residence
45,MACAU - SAR,276,195,407,638,361,408,422,425,324,432,3888,0.09,Ranking by Country of Residence
46,SOUTH AFRICA,406,321,374,538,283,310,371,286,349,314,3552,0.08,Ranking by Country of Residence
47,FINLAND,512,412,473,345,257,418,304,270,210,267,3468,0.08,Ranking by Country of Residence
48,BANGLADESH,269,303,351,458,262,276,283,344,506,407,3459,0.08,Ranking by Country of Residence
49,BRAZIL,454,443,515,437,264,256,213,193,239,306,3320,0.07,Ranking by Country of Residence
50,CAMBODIA,236,332,405,404,294,278,247,335,321,401,3253,0.07,Ranking by Country of Residence
51,PORTUGAL,310,364,476,448,268,136,161,304,216,344,3027,0.07,Ranking by Country of Residence
52,NEPAL,251,236,363,383,244,316,291,309,316,307,3016,0.07,Ranking by Country of Residence
53,ROMANIA,489,549,487,360,170,168,131,211,176,248,2989,0.07,Ranking by Country of Residence
54,NIGERIA,387,427,321,300,274,259,242,291,221,212,2934,0.07,Ranking by Country of Residence
55,PAKISTAN,287,225,273,172,236,225,284,248,345,272,2567,0.06,Ranking by Country of Residence
56,MEXICO,193,173,320,312,194,167,198,248,247,282,2334,0.05,Ranking by Country of Residence
57,GREECE,313,290,281,244,146,148,126,351,188,208,2295,0.05,Ranking by Country of Residence
58,OMAN,133,192,229,219,216,290,334,197,231,186,2227,0.05,Ranking by Country of Residence
59,SRI LANKA,158,188,259,214,201,280,214,192,241,207,2154,0.05,Ranking by Country of Residence
60,NORTHERN MARIANA ISLANDS,130,144,200,174,143,484,413,203,112,150,2153,0.05,Ranking by Country of Residence
61,HUNGARY,217,273,263,156,173,191,111,116,146,140,1786,0.04,Ranking by Country of Residence
62,URUGUAY,91,125,703,522,79,26,25,18,21,39,1649,0.04,Ranking by Country of Residence
63,BULGARIA,351,296,271,145,115,59,85,75,75,143,1615,0.04,Ranking by Country of Residence
64,LITHUANIA,244,286,193,108,59,31,57,349,89,87,1503,0.03,Ranking by Country of Residence
65,ARGENTINA,274,203,240,199,134,84,70,76,105,113,1498,0.03,Ranking by Country of Residence
66,SLOVAKIA,210,289,227,232,110,61,75,62,70,155,1491,0.03,Ranking by Country of Residence
67,COLOMBIA,177,136,158,202,133,120,120,108,161,166,1481,0.03,Ranking by Country of Residence
68,MOROCCO,131,213,102,107,178,102,143,217,159,120,1472,0.03,Ranking by Country of Residence
69,UNITED STATES MINOR OUTLYING ISLANDS,92,119,132,103,77,101,142,81,220,327,1394,0.03,Ranking by Country of Residence
70,CHILE,168,193,169,158,129,95,67,75,85,146,1285,0.03,Ranking by Country of Residence
71,EGYPT,111,123,90,144,87,89,121,137,128,94,1124,0.03,Ranking by Country of Residence
72,KAZAKHSTAN,181,132,190,115,100,88,90,70,79,76,1121,0.03,Ranking by Country of Residence
73,MALDIVES,116,99,98,45,71,93,196,115,129,129,1091,0.02,Ranking by Country of Residence
74,ICELAND,95,67,89,89,135,240,145,48,70,61,1039,0.02,Ranking by Country of Residence
74,CYPRUS,95,93,131,103,76,99,169,140,63,70,1039,0.02,Ranking by Country of Residence
75,SLOVENIA,162,125,97,149,41,49,95,58,138,121,1035,0.02,Ranking by Country of Residence
76,PALAU,91,117,166,96,68,95,113,81,99,92,1018,0.02,Ranking by Country of Residence
77,CROATIA,144,130,141,118,82,89,58,61,73,98,994,0.02,Ranking by Country of Residence
78,MALTA,112,120,168,102,95,50,98,73,46,57,921,0.02,Ranking by Country of Residence
79,IRAN,65,88,325,53,70,49,48,54,81,68,901,0.02,Ranking by Country of Residence
80,LATVIA,125,137,93,58,38,24,70,55,209,73,882,0.02,Ranking by Country of Residence
81,SERBIA,55,61,81,58,48,21,40,240,218,42,864,0.02,Ranking by Country of Residence
82,KENYA,63,55,78,98,61,56,83,75,109,115,793,0.02,Ranking by Country of Residence
83,ESTONIA,167,206,103,69,40,27,35,28,41,58,774,0.02,Ranking by Country of Residence
84,LUXEMBOURG,70,82,121,120,49,34,71,103,47,75,772,0.02,Ranking by Country of Residence
85,LAOS,64,86,81,166,70,60,52,53,64,75,771,0.02,Ranking by Country of Residence
86,MICRONESIA,69,73,96,88,40,68,77,65,60,59,695,0.02,Ranking by Country of Residence
87,TUNISIA,80,125,89,56,83,20,53,76,60,50,692,0.02,Ranking by Country of Residence
88,UKRAINE,87,103,76,63,40,61,68,52,54,67,671,0.02,Ranking by Country of Residence
89,PERU,56,73,73,61,58,41,35,49,101,56,603,0.01,Ranking by Country of Residence
90,UZBEKISTAN,35,47,52,49,69,96,70,64,58,49,589,0.01,Ranking by Country of Residence
91,FIJI,42,51,78,52,48,72,60,51,70,56,580,0.01,Ranking by Country of Residence
92,JORDAN,89,60,43,33,51,45,45,60,61,30,517,0.01,Ranking by Country of Residence
93,LEBANON,42,75,45,66,41,51,34,46,47,47,494,0.01,Ranking by Country of Residence
94,GHANA,31,25,28,51,35,37,46,87,61,89,490,0.01,Ranking by Country of Residence
95,CAMEROON,33,49,39,73,34,43,38,51,55,63,478,0.01,Ranking by Country of Residence
95,SOLOMON ISLANDS,27,20,17,37,42,51,93,58,82,51,478,0.01,Ranking by Country of Residence
96,MARSHALL ISLANDS,29,59,45,47,37,52,56,48,46,47,466,0.01,Ranking by Country of Residence
97,ISLE OF MAN,44,37,55,46,30,30,50,57,26,51,426,0.01,Ranking by Country of Residence
98,TIMOR-LESTE,39,57,25,26,26,42,68,55,55,26,419,0.01,Ranking by Country of Residence
99,COSTA RICA,50,51,59,60,36,28,22,20,44,40,410,0.01,Ranking by Country of Residence
100,ECUADOR,34,42,47,49,17,21,12,25,48,25,320,0.01,Ranking by Country of Residence
Pp,ARMENIA,17,35,44,23,10,9,78,19,31,31,297,0.01,Ranking by Country of Residence
102,GEORGIA,31,35,41,28,21,20,43,13,19,36,287,0.01,Ranking by Country of Residence
103,JERSEY,43,37,47,36,34,17,22,23,7,16,282,0.01,Ranking by Country of Residence
104,KYRGYZSTAN,37,33,39,27,46,23,12,15,17,26,275,0.01,Ranking by Country of Residence
104,AMERICAN SAMOA,38,38,30,25,17,27,33,22,15,30,275,0.01,Ranking by Country of Residence
104,UGANDA,15,15,20,30,26,37,24,23,38,47,275,0.01,Ranking by Country of Residence
105,PUERTO RICO,26,20,22,37,13,25,25,53,22,31,274,0.01,Ranking by Country of Residence
106,MAURITIUS,24,32,44,31,23,18,21,29,22,25,269,0.01,Ranking by Country of Residence
107,ETHIOPIA,20,19,43,24,25,9,16,31,27,32,246,0.01,Ranking by Country of Residence
108,ZIMBABWE,20,22,22,36,19,20,16,30,30,29,244,0.01,Ranking by Country of Residence
109,PANAMA,27,33,30,16,22,24,30,19,25,17,243,0.01,Ranking by Country of Residence
110,BELARUS,37,52,37,22,13,15,13,15,12,26,242,0.01,Ranking by Country of Residence
111,TANZANIA,25,22,18,20,21,20,20,32,19,40,237,0.01,Ranking by Country of Residence
112,VANUATU,14,17,15,36,29,24,27,23,29,19,233,0.01,Ranking by Country of Residence
113,"CONGO, DEMOCRATIC REPUBLIC OF",35,22,14,21,13,18,21,36,28,17,225,0.01,Ranking by Country of Residence
114,TAJIKISTAN,30,13,19,21,12,29,12,15,23,42,216,0.00,Ranking by Country of Residence
115,BHUTAN,12,15,25,20,28,25,32,14,10,32,213,0.00,Ranking by Country of Residence
116,IVORY COAST,15,10,30,29,20,23,19,21,14,20,201,0.00,Ranking by Country of Residence
116,ANGOLA,10,15,6,18,12,23,18,54,24,21,201,0.00,Ranking by Country of Residence
116,IRAQ,8,19,12,9,13,19,15,33,47,26,201,0.00,Ranking by Country of Residence
117,CAYMAN ISLANDS,11,7,11,8,19,18,46,30,23,13,186,0.00,Ranking by Country of Residence
118,GUATEMALA,13,16,26,25,24,8,25,13,6,28,184,0.00,Ranking by Country of Residence
119,DOMINICAN REPUBLIC,12,27,12,9,12,13,9,63,11,10,178,0.00,Ranking by Country of Residence
120,NEW CALEDONIA,19,25,19,21,17,8,11,15,16,17,168,0.00,Ranking by Country of Residence
121,ANDORRA,8,10,16,25,15,25,9,16,22,20,166,0.00,Ranking by Country of Residence
122,JAMAICA,18,20,18,18,4,11,23,10,18,25,165,0.00,Ranking by Country of Residence
122,BRITISH INDIAN OCEAN TERRITORY,28,22,17,11,14,6,11,6,27,23,165,0.00,Ranking by Country of Residence
123,SUDAN,12,15,11,18,6,5,7,53,21,13,161,0.00,Ranking by Country of Residence
124,AFGHANISTAN,18,8,11,9,18,22,15,25,21,12,159,0.00,Ranking by Country of Residence
125,BERMUDA,18,10,17,15,17,8,23,16,18,16,158,0.00,Ranking by Country of Residence
125,EL SALVADOR,8,14,14,19,16,11,22,10,30,14,158,0.00,Ranking by Country of Residence
126,SYRIA,11,14,11,10,14,32,12,13,27,13,157,0.00,Ranking by Country of Residence
127,ALBANIA,10,28,16,8,14,14,17,13,16,19,155,0.00,Ranking by Country of Residence
128,HONDURAS,12,10,29,14,16,20,11,2,22,8,144,0.00,Ranking by Country of Residence
129,TRINIDAD AND TOBAGO,16,18,27,10,13,4,9,8,17,17,139,0.00,Ranking by Country of Residence
130,ZAMBIA,15,7,14,12,9,13,8,15,30,12,135,0.00,Ranking by Country of Residence
131,RÃ©UNION,14,28,26,16,8,8,12,6,4,12,134,0.00,Ranking by Country of Residence
132,BOLIVIA,13,18,9,43,17,4,1,4,5,19,133,0.00,Ranking by Country of Residence
133,GUERNSEY,20,11,29,17,11,6,5,6,11,15,131,0.00,Ranking by Country of Residence
134,MOLDOVA,24,26,15,6,11,6,4,14,13,11,130,0.00,Ranking by Country of Residence
135,VENEZUELA,10,12,15,15,10,14,6,16,19,8,125,0.00,Ranking by Country of Residence
136,FAROE ISLANDS,15,7,12,9,10,22,19,20,3,7,124,0.00,Ranking by Country of Residence
137,MADAGASCAR,25,20,6,13,12,10,6,8,12,10,122,0.00,Ranking by Country of Residence
137,GIBRALTAR,12,9,18,16,9,6,11,8,2,31,122,0.00,Ranking by Country of Residence
138,LIBERIA,11,14,13,16,8,12,10,5,17,14,120,0.00,Ranking by Country of Residence
139,RWANDA,12,9,10,10,4,7,13,24,15,13,117,0.00,Ranking by Country of Residence
140,PARAGUAY,18,28,8,9,8,9,7,8,11,1,107,0.00,Ranking by Country of Residence
141,SAMOA,4,9,12,12,2,15,9,13,14,15,105,0.00,Ranking by Country of Residence
142,SENEGAL,7,4,5,8,5,7,4,21,33,10,104,0.00,Ranking by Country of Residence
143,TONGA,14,10,8,17,16,8,2,6,13,7,101,0.00,Ranking by Country of Residence
144,"ESWATINI (FMR. ""SWAZILAND"")",5,3,11,11,6,3,5,9,27,20,100,0.00,Ranking by Country of Residence
145,LIECHTENSTEIN,11,12,15,15,6,8,16,4,7,5,99,0.00,Ranking by Country of Residence
146,BAHAMAS,14,9,8,6,5,15,11,3,9,17,97,0.00,Ranking by Country of Residence
147,MONACO,10,16,19,10,5,5,11,3,4,13,96,0.00,Ranking by Country of Residence
148,BOSNIA AND HERZEGOVINA,15,13,8,10,6,4,7,8,13,10,94,0.00,Ranking by Country of Residence
149,ARUBA,1,3,15,6,12,9,13,5,19,10,93,0.00,Ranking by Country of Residence
150,FRENCH POLYNESIA,8,8,7,14,8,13,8,5,8,13,92,0.00,Ranking by Country of Residence
151,NAMIBIA,8,10,3,18,12,11,8,6,3,8,87,0.00,Ranking by Country of Residence
151,MOZAMBIQUE,3,7,14,7,8,3,17,7,14,7,87,0.00,Ranking by Country of Residence
152,SAINT KITTS AND NEVIS,9,9,12,7,7,13,6,6,7,9,85,0.00,Ranking by Country of Residence
153,TURKMENISTAN,9,5,17,11,8,8,5,4,7,9,83,0.00,Ranking by Country of Residence
154,MALAWI,16,9,5,4,3,9,5,11,10,9,81,0.00,Ranking by Country of Residence
155,LIBYA,4,12,3,9,6,9,7,14,10,2,76,0.00,Ranking by Country of Residence
156,MACEDONIA (THE FORMER YUGOSLAV REPUBLIC OF),12,5,11,8,7,10,2,4,7,5,71,0.00,Ranking by Country of Residence
157,ALGERIA,7,3,2,9,3,5,10,16,6,8,69,0.00,Ranking by Country of Residence
158,KIRIBATI,-,7,4,9,11,7,6,10,6,4,64,0.00,Ranking by Country of Residence
158,MONTENEGRO,2,4,7,-,4,-,6,35,4,2,64,0.00,Ranking by Country of Residence
159,SEYCHELLES,3,4,1,12,10,7,2,13,6,4,62,0.00,Ranking by Country of Residence
160,BOTSWANA,6,6,2,4,11,5,3,12,2,8,59,0.00,Ranking by Country of Residence
160,BURKINA FASO,1,-,3,13,4,26,2,1,4,5,59,0.00,Ranking by Country of Residence
161,NICARAGUA,3,4,6,4,2,9,2,7,7,14,58,0.00,Ranking by Country of Residence
162,AZERBAIJAN,5,6,6,2,5,8,3,10,5,4,54,0.00,Ranking by Country of Residence
163,Ã…LAND ISLANDS,4,5,3,5,6,9,6,5,3,7,53,0.00,Ranking by Country of Residence
164,GUINEA,4,3,4,3,5,5,1,18,3,2,48,0.00,Ranking by Country of Residence
165,VIRGIN ISLANDS (U.S.),6,3,7,11,5,7,2,3,1,2,47,0.00,Ranking by Country of Residence
166,"CONGO, REPUBLIC OF (CAP. BRAZZAVILLE)",2,5,3,8,2,5,5,7,4,3,44,0.00,Ranking by Country of Residence
167,PALESTINE STATE,3,7,-,2,-,1,16,6,8,-,43,0.00,Ranking by Country of Residence
168,BURUNDI,1,1,5,4,1,3,5,5,11,6,42,0.00,Ranking by Country of Residence
168,TOGO,10,-,4,2,-,3,7,4,4,8,42,0.00,Ranking by Country of Residence
169,YEMEN,4,10,2,2,1,3,2,11,4,1,40,0.00,Ranking by Country of Residence
170,BENIN,4,4,3,2,3,6,2,5,6,3,38,0.00,Ranking by Country of Residence
171,BELIZE,3,4,1,5,3,2,9,7,2,1,37,0.00,Ranking by Country of Residence
171,COOK ISLANDS,1,1,2,6,4,7,1,3,8,4,37,0.00,Ranking by Country of Residence
172,SURINAME,1,2,1,3,3,1,2,3,16,3,35,0.00,Ranking by Country of Residence
172,GAMBIA,-,3,1,3,2,1,3,5,7,10,35,0.00,Ranking by Country of Residence
173,CURAÃ§AO,6,5,5,2,1,3,3,2,3,2,32,0.00,Ranking by Country of Residence
173,GRENADA,6,3,5,3,1,7,3,4,-,-,32,0.00,Ranking by Country of Residence
173,SINT MAARTEN (DUTCH PART),4,-,1,6,-,5,6,-,3,7,32,0.00,Ranking by Country of Residence
174,BRITISH VIRGIN ISLANDS,6,3,4,2,3,-,5,3,5,-,31,0.00,Ranking by Country of Residence
174,CENTRAL AFRICAN REPUBLIC,2,2,-,1,2,6,8,7,-,3,31,0.00,Ranking by Country of Residence
175,TUVALU,-,-,7,4,2,4,1,-,1,11,30,0.00,Ranking by Country of Residence
176,BARBADOS,-,-,5,4,4,-,3,9,1,3,29,0.00,Ranking by Country of Residence
176,CHAD,2,4,8,5,2,1,1,4,-,2,29,0.00,Ranking by Country of Residence
176,TURKS AND CAICOS,4,-,1,6,2,1,3,5,6,1,29,0.00,Ranking by Country of Residence
176,GREENLAND,2,2,1,4,1,5,2,2,3,7,29,0.00,Ranking by Country of Residence
177,GUADELOUPE,-,1,3,3,3,3,8,4,2,1,28,0.00,Ranking by Country of Residence
177,MARTINIQUE,2,1,15,2,1,2,1,-,4,-,28,0.00,Ranking by Country of Residence
178,SAINT LUCIA,-,3,7,5,1,2,4,4,-,1,27,0.00,Ranking by Country of Residence
179,FRENCH GUIANA,-,-,8,2,1,1,6,3,1,3,25,0.00,Ranking by Country of Residence
180,GUYANA,-,6,4,-,1,2,4,5,-,2,24,0.00,Ranking by Country of Residence
180,MALI,2,2,2,1,-,1,4,7,3,2,24,0.00,Ranking by Country of Residence
181,ANTIGUA AND BARBUDA,-,1,2,3,3,3,6,2,3,-,23,0.00,Ranking by Country of Residence
181,HAITI,5,-,3,4,1,1,1,3,4,1,23,0.00,Ranking by Country of Residence
182,SAN MARINO,1,8,3,-,-,-,1,4,2,3,22,0.00,Ranking by Country of Residence
183,GABON,1,-,-,-,1,1,3,4,7,3,20,0.00,Ranking by Country of Residence
184,"BONAIRE, SINT EUSTATIUS AND SABA",1,1,2,-,2,2,5,1,2,3,19,0.00,Ranking by Country of Residence
184,SAINT VINCENT AND THE GRENADINES,6,2,3,-,4,1,2,-,-,1,19,0.00,Ranking by Country of Residence
184,SIERRA LEONE,-,-,1,-,3,5,-,1,5,4,19,0.00,Ranking by Country of Residence
185,EQUATORIAL GUINEA,1,3,-,5,1,-,2,2,-,2,16,0.00,Ranking by Country of Residence
186,DOMINICA,1,2,1,1,-,2,5,1,1,1,15,0.00,Ranking by Country of Residence
187,FALKLAND ISLANDS (MALVINAS),-,-,1,-,1,1,5,-,3,2,13,0.00,Ranking by Country of Residence
188,COMOROS,1,3,2,-,1,-,-,-,4,-,11,0.00,Ranking by Country of Residence
188,LESOTHO,-,-,-,1,-,1,-,2,6,1,11,0.00,Ranking by Country of Residence
188,NIGER,-,1,1,-,2,4,-,-,1,2,11,0.00,Ranking by Country of Residence
189,CABO VERDE,1,-,1,2,-,4,2,-,-,-,10,0.00,Ranking by Country of Residence
189,SOMALIA,1,2,-,2,3,1,-,1,-,-,10,0.00,Ranking by Country of Residence
190,CUBA,1,-,-,2,2,-,1,-,1,2,9,0.00,Ranking by Country of Residence
190,NORFOLK ISLAND,-,-,1,5,-,-,3,-,-,-,9,0.00,Ranking by Country of Residence
191,ANGUILLA,1,-,-,2,-,-,-,2,3,-,8,0.00,Ranking by Country of Residence
191,NAURU,-,-,-,2,-,2,-,-,-,4,8,0.00,Ranking by Country of Residence
191,SAO TOME AND PRINCIPE,-,-,-,-,-,1,-,-,7,-,8,0.00,Ranking by Country of Residence
192,ANTARCTICA,-,1,3,-,1,2,-,-,-,-,7,0.00,Ranking by Country of Residence
192,SAINT MARTIN (FRENCH PART),4,-,1,-,1,-,-,-,1,-,7,0.00,Ranking by Country of Residence
193,DJIBOUTI,-,-,1,-,1,2,1,-,1,-,6,0.00,Ranking by Country of Residence
193,FRENCH SOUTHERN TERRITORIES,-,-,-,1,-,-,2,1,1,1,6,0.00,Ranking by Country of Residence
193,GUINEA-BISSAU,-,-,-,-,3,-,2,1,-,-,6,0.00,Ranking by Country of Residence
193,MAURITANIA,-,1,-,2,1,1,-,1,-,-,6,0.00,Ranking by Country of Residence
193,NIUE,-,-,-,4,-,-,-,1,-,1,6,0.00,Ranking by Country of Residence
194,CHRISTMAS ISLAND,-,-,1,-,1,1,-,2,-,-,5,0.00,Ranking by Country of Residence
194,COCOS (KEELING) ISLANDS,-,-,-,-,-,-,-,1,4,-,5,0.00,Ranking by Country of Residence
194,ERITREA,1,-,1,-,1,-,1,1,-,-,5,0.00,Ranking by Country of Residence
195,"SAINT HELENA, ASCENSION AND TRISTAN DA CUNHA",-,-,1,1,-,-,1,-,-,1,4,0.00,Ranking by Country of Residence
196,MONTSERRAT,-,-,-,-,-,-,-,2,-,-,2,0.00,Ranking by Country of Residence
196,VATICAN CITY STATE,-,1,-,-,1,-,-,-,-,-,2,0.00,Ranking by Country of Residence
197,SAINT PIERRE AND MIQUELON,,,,,,,,,1,-,1,0.00,Ranking by Country of Residence
197,SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS,,,,,,,1,-,-,-,1,0.00,Ranking by Country of Residence
197,WALLIS AND FUTUNA,-,-,1,-,-,-,-,-,-,-,1,0.00,Ranking by Country of Residence
197,WESTERN SAHARA,-,-,-,-,-,-,-,-,1,-,1,0.00,Ranking by Country of Residence
198,CURACAO,-,-,-,-,-,-,-,-,-,-,-,-,Ranking by Country of Residence
198,FALKLAND ISLANDS,-,-,-,-,-,-,-,-,-,-,-,-,Ranking by Country of Residence
198,HOLY SEE,-,-,-,-,-,-,-,-,-,-,-,-,Ranking by Country of Residence
198,KOSOVO,-,-,-,-,-,-,-,-,-,-,-,-,Ranking by Country of Residence
198,NORTH MACEDONIA,-,-,-,-,-,-,-,-,-,-,-,-,Ranking by Country of Residence
,NOT STATED,-,-,-,-,-,-,-,-,-,-,-,,Ranking by Country of Residence
198,SAINT BARTHELEMY,-,-,-,-,-,-,-,-,-,-,-,-,Ranking by Country of Residence
198,SVALBARD AND JAN MAYEN,-,-,-,-,-,-,-,-,-,-,-,-,Ranking by Country of Residence
,THE BRITISH VIRGIN ISLAND,-,-,-,-,-,-,-,-,-,-,-,,Ranking by Country of Residence
1,SOUTH KOREAN,127101,127478,107406,95103,99340,117413,140718,135660,113858,114215,1178292,26.51,Ranking by Nationality
2,AMERICAN,90549,8 8996,84571,79825,73889,98488,90795,55328,53303,63585,779329,17.53,Ranking by Nationality
3,JAPANESE,15409,2 2871,26018,23290,20959,19534,26770,38157,27596,24513,245117,5.51,Ranking by Nationality
4,CHINESE,10355,1 5901,20434,25900,19164,22909,34855,32752,25662,24226,232158,5.22,Ranking by Nationality
5,AUSTRALIAN,23009,2 0116,22949,26201,18339,19091,18374,15275,19106,18195,200655,4.51,Ranking by Nationality
6,CANADIAN,25466,2 3795,22915,21664,17701,12969,19100,14099,12645,16142,186496,4.20,Ranking by Nationality
7,TAIWANESE,16724,1 2510,12952,14045,10827,19076,22582,18342,15348,18581,160987,3.62,Ranking by Nationality
8,BRITISH,14848,1 3056,19390,17692,11617,10773,18988,12325,8665,11789,139143,3.13,Ranking by Nationality
9,MALAYSIAN,7206,9 043,9950,9654,8488,8263,8466,7790,8111,7745,84716,1.91,Ranking by Nationality
10,SINGAPOREAN,6090,7 469,9484,8688,8072,9820,7256,7012,8054,7304,79249,1.78,Ranking by Nationality
11,INDIAN,7972,6 750,8687,8170,6639,7053,7422,7288,6966,7024,73971,1.66,Ranking by Nationality
12,GERMAN,7752,8 038,10376,8252,4711,3666,4943,4780,3985,5264,61767,1.39,Ranking by Nationality
13,VIETNAMESE,4137,5 644,6822,6373,6092,6885,6060,5236,4551,4697,56497,1.27,Ranking by Nationality
14,FRENCH,6904,8 261,8251,7175,3352,2111,4141,3084,2550,3736,49565,1.12,Ranking by Nationality
15,INDONESIAN,3854,5 219,5127,5577,4180,4366,4301,4076,4555,4456,45711,1.03,Ranking by Nationality
16,HONG KONGER,5103,2 572,3491,6065,3039,3275,3594,3343,3310,4373,38165,0.86,Ranking by Nationality
17,SPANISH,3272,2 917,3501,3361,1924,2014,3951,4428,2377,2749,30494,0.69,Ranking by Nationality
18,THAI,2649,2 664,3454,3760,2611,2673,3226,2225,2715,3101,29078,0.65,Ranking by Nationality
19,NEW ZEALANDER,3055,2 648,3093,3630,2841,3125,2853,2250,2590,2686,28771,0.65,Ranking by Nationality
20,DUTCH,3323,3 001,3295,3516,2315,1776,3620,2047,1960,2517,27370,0.62,Ranking by Nationality
21,ITALIAN,2905,2 858,2983,2502,1448,1603,2113,2679,1400,1777,22268,0.50,Ranking by Nationality
